"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2021","346.0803","334.1831","354.4055","320.7823","86.78K","3.56%"
"Nov 27, 2021","334.1831","313.6119","347.6857","313.5002","58.36K","6.56%"
"Nov 26, 2021","313.6119","338.5192","339.5558","300.7684","105.04K","-7.36%"
"Nov 25, 2021","338.5192","328.0450","349.9936","326.2812","51.07K","3.17%"
"Nov 24, 2021","328.1315","343.4967","346.9522","323.5190","64.02K","-4.50%"
"Nov 23, 2021","343.6095","337.7468","352.1581","327.3726","85.40K","1.75%"
"Nov 22, 2021","337.6959","364.9907","366.1312","335.2608","66.30K","-7.48%"
"Nov 21, 2021","364.9907","366.3630","371.5692","358.6044","39.38K","-0.37%"
"Nov 20, 2021","366.3630","354.3718","367.9832","342.2302","52.83K","3.38%"
"Nov 19, 2021","354.3718","338.5300","365.2735","327.5371","76.67K","4.68%"
"Nov 18, 2021","338.5300","367.2457","372.4048","332.1698","81.77K","-7.99%"
"Nov 17, 2021","367.9250","366.4988","376.3011","353.2041","68.44K","0.39%"
"Nov 16, 2021","366.4988","409.7486","409.7486","353.1539","124.89K","-10.56%"
"Nov 15, 2021","409.7486","434.4441","441.7372","408.5583","57.13K","-5.68%"
"Nov 14, 2021","434.4441","428.5335","435.2661","420.7392","31.77K","1.27%"
"Nov 13, 2021","429.0085","423.1225","434.9272","412.4103","45.27K","1.39%"
"Nov 12, 2021","423.1225","441.0228","443.9837","408.5329","62.23K","-4.06%"
"Nov 11, 2021","441.0228","427.5406","452.1844","414.1752","75.37K","2.84%"
"Nov 10, 2021","428.8399","451.9447","470.8757","395.9000","124.09K","-5.10%"
"Nov 09, 2021","451.8701","482.5730","484.3490","449.3523","76.40K","-6.27%"
"Nov 08, 2021","482.0892","512.1215","518.3928","476.7953","94.76K","-5.86%"
"Nov 07, 2021","512.1215","446.0724","513.2056","441.1999","121.52K","14.81%"
"Nov 06, 2021","446.0724","451.1310","461.0492","432.8134","68.08K","-1.07%"
"Nov 05, 2021","450.8919","440.7778","451.7591","428.5203","66.78K","2.29%"
"Nov 04, 2021","440.7778","452.0557","459.5902","431.1372","66.94K","-2.49%"
"Nov 03, 2021","452.0557","443.4945","459.5081","422.3560","101.01K","2.12%"
"Nov 02, 2021","442.6844","409.5459","454.4151","397.5173","209.46K","7.95%"
"Nov 01, 2021","410.0654","368.4391","412.0040","359.7760","138.72K","11.30%"
"Oct 31, 2021","368.4391","372.1042","378.8619","353.1712","61.32K","-0.93%"
"Oct 30, 2021","371.9148","367.1205","379.8928","362.7953","59.42K","1.84%"
"Oct 29, 2021","365.1791","364.8642","372.8373","361.9454","68.75K","0.05%"
"Oct 28, 2021","364.9821","355.7965","379.1777","355.1311","83.70K","2.55%"
"Oct 27, 2021","355.8979","390.4232","395.8402","355.7798","118.08K","-8.91%"
"Oct 26, 2021","390.7263","402.1740","407.8481","383.4019","73.13K","-2.85%"
"Oct 25, 2021","402.1740","399.5715","414.6006","395.2780","100.47K","0.65%"
"Oct 24, 2021","399.5715","381.9922","406.2907","378.2847","112.40K","4.60%"
"Oct 23, 2021","381.9922","374.4429","385.1410","371.4078","60.34K","2.03%"
"Oct 22, 2021","374.4009","368.5305","388.5102","367.2015","91.60K","1.59%"
"Oct 21, 2021","368.5305","377.7850","384.7409","360.9124","95.72K","-2.44%"
"Oct 20, 2021","377.7434","380.3261","382.9850","366.4225","80.38K","-0.68%"
"Oct 19, 2021","380.3261","362.6269","380.4289","357.0305","128.70K","4.87%"
"Oct 18, 2021","362.6549","350.8001","365.1687","339.9247","101.56K","3.38%"
"Oct 17, 2021","350.7834","340.0401","351.6631","331.1786","79.63K","3.27%"
"Oct 16, 2021","339.6889","348.1020","359.7729","337.0106","61.47K","-2.41%"
"Oct 15, 2021","348.0769","350.2896","371.0055","335.7067","144.62K","-0.50%"
"Oct 14, 2021","349.8321","366.3023","377.5739","346.8940","138.89K","-4.48%"
"Oct 13, 2021","366.2402","323.2841","367.1676","311.8765","161.40K","13.34%"
"Oct 12, 2021","323.1222","330.4000","330.4042","306.6801","59.26K","-2.20%"
"Oct 11, 2021","330.4000","334.7813","345.7193","321.8409","54.32K","-1.31%"
"Oct 10, 2021","334.7813","353.6156","372.3931","333.4771","106.93K","-5.33%"
"Oct 09, 2021","353.6156","343.6680","363.0650","340.9099","60.89K","2.95%"
"Oct 08, 2021","343.4741","354.6497","359.7507","340.2291","62.25K","-3.14%"
"Oct 07, 2021","354.6044","333.4512","369.0000","326.4608","123.86K","6.34%"
"Oct 06, 2021","333.4512","336.9371","340.2136","315.4751","81.58K","-1.04%"
"Oct 05, 2021","336.9401","339.1757","343.9673","329.2523","66.32K","-0.65%"
"Oct 04, 2021","339.1375","346.3328","347.0677","325.4319","79.47K","-2.08%"
"Oct 03, 2021","346.3328","352.9897","357.1864","341.6948","55.06K","-2.02%"
"Oct 02, 2021","353.4759","348.9910","364.8376","341.1632","71.17K","1.30%"
"Oct 01, 2021","348.9430","331.5249","353.6941","328.7268","112.27K","5.25%"
"Sep 30, 2021","331.5249","322.7307","336.5681","320.9574","91.46K","2.70%"
"Sep 29, 2021","322.7968","317.8721","341.2947","314.2520","100.89K","1.50%"
"Sep 28, 2021","318.0205","315.0634","343.8172","308.9390","179.87K","0.94%"
"Sep 27, 2021","315.0634","324.1058","346.5175","314.8562","107.27K","-2.80%"
"Sep 26, 2021","324.1306","326.9903","333.0167","301.0875","107.76K","-0.96%"
"Sep 25, 2021","327.2571","332.5436","338.8600","321.0255","71.85K","-1.59%"
"Sep 24, 2021","332.5436","358.0481","364.9059","301.8847","205.07K","-7.12%"
"Sep 23, 2021","358.0481","348.4619","358.6884","338.3549","101.66K","2.75%"
"Sep 22, 2021","348.4619","305.2652","351.3801","298.8795","173.89K","14.15%"
"Sep 21, 2021","305.2652","332.8155","349.0175","297.4940","185.21K","-7.95%"
"Sep 20, 2021","331.6310","400.7231","401.5045","326.5278","213.63K","-17.24%"
"Sep 19, 2021","400.7231","418.5462","423.7852","395.2784","76.37K","-4.27%"
"Sep 18, 2021","418.6003","388.9214","421.6630","385.2615","100.88K","7.63%"
"Sep 17, 2021","388.9214","409.4661","416.9213","384.1325","104.12K","-5.01%"
"Sep 16, 2021","409.4451","428.8186","440.8122","400.6246","149.77K","-4.52%"
"Sep 15, 2021","428.8186","416.9166","434.8017","405.3227","118.97K","2.92%"
"Sep 14, 2021","416.6469","404.7243","438.1943","396.5618","178.72K","2.95%"